received_at_server,timestamp_ms_esp32,status,latency_ms
2026-09-13T23:05:16,237076,OK,34.4
2026-09-13T23:05:21,242683,OK,33.6
2026-09-13T23:05:27,247933,OK,34.0
2026-09-13T23:05:32,253009,OK,33.9
2026-09-13T23:05:37,258095,OK,34.2
2026-09-13T23:05:42,263371,OK,34.4
2026-09-13T23:05:47,268816,OK,33.9
2026-09-13T23:05:52,273892,OK,33.9
2026-09-13T23:05:58,278968,OK,34.3
2026-09-13T23:06:03,284060,OK,34.1
2026-09-13T23:06:08,289140,OK,34.2
2026-09-13T23:06:13,294218,OK,34.3
2026-09-13T23:06:18,299422,OK,34.0
2026-09-13T23:06:23,304659,OK,34.1
2026-09-13T23:06:28,309866,OK,33.9
2026-09-13T23:06:34,314953,OK,35.7
2026-09-13T23:06:39,320031,OK,34.0
2026-09-13T23:06:44,325349,OK,34.1
2026-09-13T23:06:49,330571,OK,34.1
2026-09-13T23:06:54,335648,OK,34.0
2026-09-13T23:06:59,340725,OK,35.3
2026-09-13T23:07:04,345802,OK,33.6
2026-09-13T23:07:12,350941,OK,34.1
2026-09-13T23:07:17,357998,OK,34.2
2026-09-13T23:07:22,363517,OK,33.7
2026-09-13T23:07:28,368615,OK,34.1
2026-09-13T23:07:33,374077,OK,37.0
2026-09-13T23:07:38,379312,OK,34.2
2026-09-13T23:07:43,384389,OK,34.4
2026-09-13T23:07:48,389674,OK,35.6
2026-09-13T23:07:53,394776,OK,35.2
2026-09-13T23:07:59,399909,OK,34.2
2026-09-13T23:08:04,405019,OK,34.0
2026-09-13T23:08:09,410137,OK,35.7
2026-09-13T23:08:14,415265,OK,34.0
2026-09-13T23:08:19,420355,OK,34.3
2026-09-13T23:08:25,425977,OK,36.0
2026-09-13T23:08:30,431419,OK,36.5
2026-09-13T23:08:36,437042,OK,35.7
2026-09-13T23:08:41,442146,OK,36.3
2026-09-13T23:08:46,447226,OK,36.7
2026-09-13T23:08:51,452329,OK,34.1
2026-09-13T23:08:56,457449,OK,34.2
2026-09-13T23:09:01,462568,OK,34.0
2026-09-13T23:09:07,467654,OK,34.0
2026-09-13T23:09:12,473106,OK,34.1
2026-09-13T23:09:17,478347,OK,39.0
2026-09-13T23:09:22,483489,OK,34.0
2026-09-13T23:09:27,488589,OK,35.7
2026-09-13T23:09:32,493806,OK,42.9
2026-09-13T23:09:38,498932,OK,36.7
2026-09-13T23:09:43,504011,OK,36.1
2026-09-13T23:09:48,509451,OK,33.6
2026-09-13T23:09:54,514547,OK,34.1
2026-09-13T23:09:59,520190,OK,33.7
2026-09-13T23:10:04,525920,OK,33.9
2026-09-13T23:10:10,530996,OK,37.0
2026-09-13T23:10:15,536093,OK,34.1
2026-09-13T23:10:20,541172,OK,34.1
2026-09-13T23:10:26,546815,OK,33.8
2026-09-13T23:10:31,552172,OK,34.4
2026-09-13T23:10:36,557368,OK,37.4
2026-09-13T23:10:41,562452,OK,35.2
2026-09-13T23:10:47,567929,OK,34.2
2026-09-13T23:10:52,573342,OK,35.9
2026-09-13T23:10:57,578430,OK,37.4
2026-09-13T23:11:02,583905,OK,38.9
2026-09-13T23:11:08,588989,OK,36.5
2026-09-13T23:11:17,594108,OK,37.0
2026-09-13T23:11:20,601190,OK,42.3
2026-09-13T23:11:25,606276,OK,38.9
2026-09-13T23:11:31,611747,OK,37.5
2026-09-13T23:11:36,617368,OK,41.4
2026-09-13T23:11:41,622617,OK,51.4
2026-09-13T23:11:46,627759,OK,38.2
2026-09-13T23:11:52,632861,OK,34.0
2026-09-13T23:11:57,638564,OK,35.7
2026-09-13T23:12:02,643906,OK,36.6
2026-09-13T23:12:08,648986,OK,34.7
2026-09-13T23:12:13,654073,OK,48.3
2026-09-13T23:12:18,659164,OK,34.0
2026-09-13T23:12:23,664241,OK,39.5
2026-09-13T23:12:28,669324,OK,34.2
2026-09-13T23:12:33,674444,OK,40.3
2026-09-13T23:20:06,4783,OK,41.2
2026-09-13T23:20:06,11830,OK,37.6
2026-09-13T23:20:06,18871,OK,34.2
2026-09-13T23:20:06,25909,OK,34.7
2026-09-13T23:20:06,32947,OK,36.2
2026-09-13T23:20:06,39987,OK,35.6
2026-09-13T23:20:06,47026,OK,34.2
2026-09-13T23:20:06,54064,OK,35.8
2026-09-13T23:20:06,61103,OK,35.1
2026-09-13T23:20:06,68142,OK,34.3
2026-09-13T23:20:06,75180,OK,37.0
2026-09-13T23:20:06,82221,OK,41.0
2026-09-13T23:20:06,89266,OK,37.6
2026-09-13T23:20:06,96307,OK,34.1
2026-09-13T23:20:06,103345,OK,34.1
2026-09-13T23:20:06,110383,OK,34.9
2026-09-13T23:20:06,117422,OK,34.1
2026-09-13T23:20:06,124460,OK,35.8
2026-09-13T23:20:06,131499,OK,34.0
2026-09-13T23:20:06,138537,OK,34.1
2026-09-13T23:20:06,145575,OK,37.1
2026-09-13T23:20:06,152616,OK,36.7
2026-09-13T23:20:06,159656,OK,34.1
2026-09-13T23:20:06,166694,OK,34.7
2026-09-13T23:20:06,173732,OK,34.2
2026-09-13T23:20:06,180770,OK,35.8
2026-09-13T23:20:06,187809,OK,34.2
2026-09-13T23:20:06,194847,OK,35.7
2026-09-13T23:20:06,201886,OK,34.4
2026-09-13T23:20:06,208924,OK,34.2
2026-09-13T23:20:06,215962,OK,34.2
2026-09-13T23:20:06,223000,OK,34.1
2026-09-13T23:20:06,230038,OK,34.2
2026-09-13T23:20:06,350941,OK,34.1
2026-09-13T23:20:06,594108,OK,37.0
2026-09-13T23:20:06,687741,LOST,-1.0
2026-09-13T23:20:06,700841,LOST,-1.0
2026-09-13T23:20:06,713941,LOST,-1.0
2026-09-13T23:20:06,727041,LOST,-1.0
2026-09-13T23:20:06,740141,LOST,-1.0
2026-09-13T23:20:06,753241,LOST,-1.0
2026-09-13T23:20:06,766341,LOST,-1.0
2026-09-13T23:20:06,779482,LOST,-1.0
2026-09-13T23:20:06,792582,LOST,-1.0
2026-09-13T23:20:06,805682,LOST,-1.0
2026-09-13T23:20:06,818782,LOST,-1.0
2026-09-13T23:20:06,831882,LOST,-1.0
2026-09-13T23:20:06,844982,LOST,-1.0
2026-09-13T23:20:06,858082,LOST,-1.0
2026-09-13T23:20:06,871182,LOST,-1.0
2026-09-13T23:20:06,884282,LOST,-1.0
2026-09-13T23:20:06,897382,LOST,-1.0
2026-09-13T23:20:06,910482,LOST,-1.0
2026-09-13T23:20:06,923582,LOST,-1.0
2026-09-13T23:20:06,936682,LOST,-1.0
2026-09-13T23:20:06,949782,LOST,-1.0
2026-09-13T23:20:06,962882,LOST,-1.0
2026-09-13T23:20:06,975982,LOST,-1.0
2026-09-13T23:20:06,989082,LOST,-1.0
2026-09-13T23:20:06,1002182,LOST,-1.0
2026-09-13T23:20:06,1015282,LOST,-1.0
2026-09-13T23:20:06,1028382,LOST,-1.0
2026-09-13T23:20:06,1041482,LOST,-1.0
2026-09-13T23:20:06,1054582,LOST,-1.0
2026-09-13T23:20:06,1067682,LOST,-1.0
2026-09-13T23:20:06,1080782,LOST,-1.0
2026-09-13T23:20:06,1093882,LOST,-1.0
2026-09-13T23:20:06,1106982,LOST,-1.0
2026-09-13T23:20:06,1120085,LOST,-1.0
2026-09-13T23:20:06,1127854,OK,36.5
2026-09-13T23:20:12,1132969,OK,35.4
2026-09-13T23:20:17,1138049,OK,40.6
2026-09-13T23:20:22,1143515,OK,34.2
2026-09-13T23:20:28,1148942,OK,34.0
2026-09-13T23:20:33,1154371,OK,34.0
2026-09-13T23:20:38,1159607,OK,38.3
2026-09-13T23:20:43,1164732,OK,34.8
2026-09-13T23:20:48,1169849,OK,34.2
2026-09-13T23:20:54,1174969,OK,37.5
2026-09-13T23:20:59,1180048,OK,36.7
2026-09-13T23:21:04,1185197,OK,34.0
2026-09-13T23:21:09,1190430,OK,38.1
2026-09-13T23:21:14,1195511,OK,34.0
2026-09-13T23:21:20,1200588,OK,36.6
2026-09-13T23:21:25,1206197,OK,39.3
2026-09-13T23:21:30,1211320,OK,34.1
2026-09-13T23:21:35,1216422,OK,38.4
2026-09-13T23:21:40,1221503,OK,37.1
2026-09-13T23:21:46,1226782,OK,35.7
2026-09-13T23:21:51,1232005,OK,34.2
2026-09-13T23:21:56,1237210,OK,36.3
2026-09-13T23:22:01,1242459,OK,38.3
2026-09-13T23:22:07,1247663,OK,34.2
2026-09-13T23:22:12,1253089,OK,34.3
2026-09-13T23:22:17,1258352,OK,34.3
2026-09-13T23:22:22,1263447,OK,34.0
2026-09-13T23:22:27,1268534,OK,34.0
2026-09-13T23:22:32,1273641,OK,34.1
2026-09-13T23:22:37,1278904,OK,33.9
2026-09-13T23:22:43,1283990,OK,43.1
2026-09-13T23:22:48,1289534,OK,34.2
2026-09-13T23:22:55,1294613,OK,35.7
